Name,Acceleration,Finishing,Free kick accuracy,Heading accuracy,Penalties,Sprint speed,Volleys
J. Vertonghen,68,56,73,81,68,66,52
B. Matuidi,79,65,52,73,56,78,72
S. Ruffier,45,11,12,12,25,50,13
Filipe Luís,75,59,75,68,65,82,56
V. Kompany,61,45,52,84,63,64,46
A. Barzagli,64,21,31,72,60,76,35
E. Bailly,75,33,43,81,46,80,42
Marco Asensio,79,82,76,50,62,77,75
A. Laporte,68,45,77,85,35,70,40
D. Alli,77,84,53,75,68,76,76
S. Mané,94,83,64,53,71,92,68
Carvajal,76,41,47,65,45,86,34
J. Draxler,76,78,75,65,63,79,84
M. Icardi,75,89,45,84,78,80,81
Morata,78,82,44,79,72,86,81
K. Koulibaly,69,19,28,79,33,76,14
T. Horn,45,13,15,14,21,51,14
K. Manolas,78,10,10,80,26,81,16
S. Mustafi,64,58,47,81,54,69,51
K. Strootman,65,68,74,68,77,68,63
Pedro,84,81,57,55,66,80,70
R. Bürki,44,8,12,17,20,52,13
Bruno,42,66,77,61,75,41,48
I. Perišić,81,79,76,78,76,87,80
E. Džeko,67,87,54,84,67,61,77
Willian,91,77,85,29,70,86,59
S. Khedira,60,69,68,76,69,68,76
R. Fährmann,38,11,11,15,21,47,11
Sergio Asenjo,59,14,22,13,15,54,22
Juan Mata,71,79,84,59,81,63,71
M. Benatia,72,45,27,80,41,76,31
Falcao,73,87,71,90,84,66,84
L. Koscielny,74,32,49,81,51,76,35
G. Cahill,62,56,27,86,53,63,47
A. Gómez,94,78,71,36,71,86,72
Aduriz,69,85,54,94,75,70,84
K. Mbappé,89,87,58,76,70,90,74
O. Dembélé,93,77,65,43,75,89,76
N. Keïta,82,74,47,42,58,66,59
J. Giménez,68,37,44,79,38,72,30
G. Rulli,54,15,20,12,24,48,16
T. Lemar,86,78,81,54,68,84,75
João Mário,71,66,67,55,66,75,69
N. Süle,51,20,30,85,32,76,29
Ederson,64,14,20,14,17,63,18
Fabinho,73,66,45,75,91,75,30
M. Salah,93,79,60,59,61,93,71
A. Belotti,80,88,56,84,77,83,80
Marquinhos,69,33,32,80,31,72,31
William Carvalho,52,56,50,73,60,53,50
S. Umtiti,72,51,63,72,61,75,70
V. van Dijk,69,52,70,80,62,76,45
Roberto Firmino,77,83,67,72,72,77,79
Danilo Pereira,67,56,53,76,52,68,55
A. Lopes,60,18,14,16,16,64,13
S. de Vrij,68,25,16,78,41,68,27
M. Perin,57,11,13,12,21,56,19
J. Matip,60,36,22,85,42,73,50
I. Gueye,78,50,43,69,54,75,32
Iago Aspas,84,86,76,78,80,79,86
N. Otamendi,62,53,39,83,44,64,56
N. Matić,62,64,67,77,69,66,74
J. Pastore,69,73,69,63,75,72,78
B. Dost,54,87,32,93,81,64,85
K. Walker,86,51,71,73,63,93,57
S. N'Zonzi,52,64,42,79,57,61,55
M. Musacchio,72,48,45,81,57,69,36
O. Toprak,72,28,33,83,48,79,55
José Callejón,90,76,65,65,62,90,84
Adrien Silva,64,71,75,61,85,65,75
S. Giovinco,88,83,89,34,77,81,75
N. Gaitán,84,73,72,54,71,79,81
M. Mandžukić,68,84,49,90,76,76,86
A. Lallana,74,79,66,67,70,72,72
B. Höwedes,62,48,52,84,56,65,38
Rui Patrício,53,12,16,11,32,57,17
Y. Sommer,48,13,13,10,24,54,8
M. Schneiderlin,67,61,61,71,56,68,56
Jonas,66,87,77,79,84,65,85
K. Gameiro,88,86,70,67,85,86,78
L. Piszczek,73,65,47,74,65,84,67
E. Garay,39,58,74,85,69,46,49
K. Schmeichel,62,12,15,16,26,60,15
L. Perrin,67,64,51,80,68,69,44
Juanfran,76,54,59,59,66,87,49
Diego López,34,12,11,10,21,52,14
J. Mascherano,67,42,50,68,60,64,51
José Reina,50,14,11,13,24,63,11
Y. Touré,61,82,86,72,89,64,68
Casillas,59,12,13,25,24,57,14
G. Donnarumma,46,12,14,12,24,54,8
L. Sané,93,78,62,72,63,94,64
T. Bakayoko,75,39,37,72,45,72,36
C. Tolisso,79,75,73,82,70,69,62
N. Fekir,79,78,71,49,72,80,74
K. Baldé Diao,93,79,52,58,58,92,68
J. Tah,64,19,27,80,38,78,24
T. Werner,92,86,42,74,68,91,81
André Gomes,71,68,68,69,55,66,63
Q. Promes,86,82,76,60,72,91,68
Lucas Vázquez,83,77,75,52,56,79,54
Saúl,72,71,60,83,54,73,30
Felipe,65,39,30,82,47,70,40
C. Bacca,76,87,58,76,80,78,80
F. Vázquez,62,77,68,68,67,66,79
M. Kovačić,85,62,68,42,59,77,76
Sergio Rico,50,14,20,11,24,53,15
Manu Trigueros,73,71,69,76,65,73,63
A. Rüdiger,73,27,56,78,40,75,34
F. Thauvin,88,74,54,69,57,77,67
S. Savić,60,34,28,81,37,65,27
Iñigo Martínez,70,42,51,78,39,72,37
Roque Mesa,76,67,48,32,42,78,34
A. Florenzi,86,76,79,70,76,84,87
D. Klaassen,73,82,44,74,75,73,82
E. Dier,70,52,77,83,70,74,52
M. Rojo,70,50,57,82,64,71,49
H. Son,87,83,70,65,71,86,73
F. Acerbi,65,37,56,77,72,60,39
G. Xhaka,48,49,70,62,59,51,50
Jonathan Viera,86,78,76,41,74,76,57
Pizzi,83,77,76,45,76,76,77
Willian José,65,84,71,84,80,68,80
O. Baumann,47,11,11,16,22,51,11
G. Medel,74,31,45,68,62,74,61
Víctor Ruíz,54,37,46,77,46,61,39
C. Immobile,77,86,51,75,76,85,81
N. Clyne,82,54,39,67,46,83,45
Iborra,49,72,70,81,72,51,66
K. Trapp,45,13,12,11,17,52,12
V. Wanyama,60,63,57,73,65,68,60
L. Stindl,74,84,69,64,80,69,86
M. Balotelli,77,84,78,66,92,82,74
W. Szczęsny,51,12,14,16,18,47,14
G. Sigurðsson,65,81,89,60,80,66,75
M. Arnautović,76,73,74,71,77,78,79
M. Kruse,74,86,69,63,89,69,80
O. Karnezis,44,16,11,24,21,34,14
L. Fejsa,52,49,57,73,56,54,53
F. Muslera,60,10,10,12,24,62,10
V. Ćorluka,49,47,60,83,49,65,38
G. Wijnaldum,79,74,70,72,74,82,73
F. Fazio,31,41,37,89,33,30,35
O. Giroud,51,83,65,90,81,55,82
J. Hernández,84,87,52,82,76,75,79
Beñat,65,69,84,47,69,52,61
L. Bender,66,59,47,78,52,69,57
A. Witsel,67,71,68,77,81,74,67
C. Bravo,58,13,38,18,23,54,11
A. Begović,52,12,15,12,40,58,12
Naldo,67,57,76,91,60,70,60
D. Sturridge,74,83,68,73,75,78,75
D. Rose,80,57,57,62,57,81,64
C. Vela,87,81,71,64,72,81,84
E. Viviano,30,17,16,13,21,33,13
A. Williams,62,37,23,78,45,67,34
S. Mandanda,53,13,12,13,11,43,13
A. Consigli,48,10,15,10,21,34,19
João Moutinho,73,74,79,70,70,65,76
B. Costil,49,14,11,15,15,53,12
Raúl Albiol,57,27,45,77,37,57,31
J. Hart,59,14,13,10,48,60,19
M. Gómez,68,84,36,83,74,75,78
Raffael,77,81,73,63,72,68,75
A. Turan,75,71,64,70,73,68,80
David Villa,72,86,80,67,88,67,79
S. Lichtsteiner,76,45,66,72,64,78,62
R. Jarstein,40,13,14,16,13,46,16
Gabriel Jesus,89,83,54,66,78,85,67
Nélson Semedo,91,50,30,58,38,92,42
J. Weigl,74,47,46,63,50,67,52
D. Sánchez,65,40,27,81,44,76,28
A. Kramarić,78,82,71,69,84,69,78
M. Brozović,72,69,74,62,69,74,65
Dani García,57,51,57,46,58,40,52
J. Kimmich,76,66,61,69,44,65,61
D. Berardi,85,77,76,62,80,85,78
A. Rabiot,72,66,57,75,68,68,69
J. Vardy,91,83,48,64,76,91,73
M. Keane,73,50,33,84,48,72,40
Héctor Bellerín,96,52,50,60,62,94,41
J. Butland,38,16,14,12,42,43,12
S. Zaza,79,82,56,81,80,79,84
Nacho Fernández,72,32,37,80,45,80,38
J. Cillessen,54,10,10,12,21,50,19
Sergi Roberto,76,64,61,62,57,78,46
W. Ben Yedder,84,84,77,74,74,83,76
Lucas Pérez,80,83,78,68,79,81,78
C. Bakambu,86,81,54,71,72,88,78
Bartra,78,43,45,82,52,77,43
S. Aurier,84,65,30,75,66,84,50
S. Coates,50,32,19,80,42,64,55
G. Krychowiak,62,42,62,83,78,68,40
A. Yarmolenko,81,78,75,69,69,81,74
Y. Belhanda,77,75,78,67,80,73,69
Mário Fernandes,79,58,39,73,53,88,52
R. Rodríguez,73,59,84,64,83,74,67
Mario Gaspar,78,68,54,64,50,83,77
Marcos Alonso,74,64,80,70,64,79,52
M. Götze,71,74,73,49,65,66,87
L. Hrádecký,38,11,15,11,20,44,9
Illarramendi,65,64,68,51,50,55,58
De Marcos,83,59,53,59,55,89,57
C. Smalling,69,50,22,83,52,75,54
Iturraspe,57,60,66,78,58,60,47
R. Boudebouz,77,78,82,45,87,76,73
Camacho,64,58,59,83,48,59,52
Paulinho,76,72,72,80,71,76,75
N. Kalinić,69,85,54,80,70,77,80
C. Benteke,70,79,67,87,77,76,73
M. Parolo,68,70,55,75,45,74,76
K. Mitroglou,53,82,71,85,61,62,80
M. Sakho,53,23,30,74,40,67,20
A. Rami,49,45,55,79,48,57,45
S. Jovetić,75,80,72,74,80,78,79
S. Coleman,74,62,35,67,60,72,64
S. Kjær,60,55,73,82,61,68,37
Adán,55,11,12,23,25,55,15
S. Mignolet,55,11,12,16,41,56,16
D. Astori,66,25,17,77,27,69,27
K. Mirallas,82,77,76,64,78,84,76
Raúl García,54,73,68,88,76,60,55
M. Škrtel,54,35,27,84,39,67,43
T. Heaton,56,12,13,16,24,53,12
Dante,44,47,60,83,57,45,44
A. Gignac,74,86,70,78,78,71,80
G. Rodríguez,65,44,46,84,74,70,22
B. Schweinsteiger,40,69,78,78,77,39,82
C. Carrasso,38,13,12,11,13,42,13
Moyá,46,11,12,12,11,34,13
W. Rooney,67,80,81,75,83,68,83
P. Mertesacker,26,36,45,84,42,28,30
T. Motta,31,54,67,77,70,32,76
Fernando Torres,74,77,63,77,74,77,81
S. Eto'o,73,85,72,75,85,75,80
S. Milinković-Savić,68,69,66,86,38,73,68
Y. Tielemans,52,73,74,57,76,53,78
Jemerson,64,28,26,79,54,63,46
Alisson,44,13,18,19,23,35,20
D. Rugani,54,33,25,80,36,66,35
P. Zieliński,82,64,65,52,51,83,70
Ricardo Pereira,89,60,42,64,53,88,53
Grimaldo,87,50,80,64,51,86,58
J. Hector,76,55,65,73,65,77,51
S. Kolašinac,73,42,25,73,44,82,31
Arrizabalaga,34,11,19,17,24,33,18
M. Nastasić,66,27,28,79,47,74,32
Denis Suárez,80,75,72,44,63,79,68
M. Batshuayi,77,83,46,73,67,80,74
J. Brooks,69,39,28,86,45,78,32
Eric Botteghin,35,25,43,79,52,34,25
L. Karius,51,18,14,14,19,50,14
T. Hazard,85,79,79,38,73,77,80
V. Germain,78,82,75,79,77,78,79
L. Kurzawa,81,71,53,76,62,74,61
J. Iličić,68,78,84,58,78,72,80
K. Volland,78,80,76,67,72,77,76
Allan,78,62,49,59,53,76,56
P. Hernández,72,69,69,53,62,70,69
D. Tadić,70,65,76,63,75,70,73
J. Guilavogui,66,49,53,78,50,73,49
O. Özyakup,76,68,77,50,78,75,72
Y. Rakitskyi,69,57,77,69,50,74,53
Sergi Enrich,63,83,47,80,63,68,79
Neto,53,15,13,14,22,49,12
Hugo Mallo,73,28,38,63,23,75,28
D. Didavi,75,79,75,58,65,78,73
A. Schürrle,84,80,68,63,83,83,82
M. Gonalons,67,55,57,75,68,66,60
K. Vogt,66,50,62,78,53,85,51
D. Blind,63,46,62,71,56,58,62
Iago Falqué,80,75,75,53,77,79,69
S. Rondón,73,77,52,88,62,76,73
Daniel Carriço,54,48,54,79,62,59,47
M. Schmelzer,75,37,72,73,46,84,47
J. McCarthy,72,55,64,63,60,68,61
Ganso,36,72,76,65,76,34,75
F. Smolov,89,82,64,70,74,85,79
Luiz Gustavo,65,46,45,73,58,64,54
Mikel San José,38,69,44,82,51,47,70
M. Darmian,78,55,35,68,45,77,59
R. Thomas,55,22,34,80,55,54,18
I. Traoré,92,66,74,44,56,85,75
Sidnei,42,46,39,74,58,58,43
Eder,86,81,78,60,78,84,76
Kiko Casilla,32,14,25,13,23,49,23
Nacho Monreal,74,39,59,67,61,72,56
S. Bender,67,39,30,75,34,72,54
M. Díaz,65,52,82,63,66,57,66
A. Fernández,67,69,61,59,62,71,57
M. Berg,74,82,47,77,70,75,74
Pedro León,64,74,84,36,71,69,68
K. Boateng,73,75,71,74,67,73,83
Marcano,67,41,37,83,35,69,34
H. Moreno,66,43,28,84,63,66,55
S. Romero,47,14,13,12,16,44,17
Coke,75,62,36,83,74,75,43
E. Lamela,78,73,79,71,75,74,77
R. Bertrand,79,50,66,69,52,79,43
Jardel,55,38,35,84,57,64,27
V. Denisov,86,40,62,66,31,80,57
D. Basta,77,58,66,72,55,76,64
G. Cabral,43,22,48,81,47,42,28
G. Paletta,49,16,35,76,35,53,30
T. Walcott,92,77,74,58,74,91,72
L. Fabiański,50,13,12,11,22,47,17
B. Foster,50,18,17,14,41,48,14
V. Ibišević,53,85,56,83,81,53,84
K. El Ahmadi,66,54,50,60,69,65,65
S. Kalou,69,83,62,76,86,67,78
A. Granqvist,46,51,40,81,79,49,37
L. Podolski,79,82,75,65,83,77,89
Javi Fuego,61,54,62,60,60,52,53
A. Mirante,44,17,13,13,21,43,15
F. Marchetti,55,17,12,12,22,50,12
Kaká,63,74,70,52,84,61,84
J. Milner,69,66,77,69,83,66,76
M. Topal,67,58,54,76,68,68,54
J. Mathieu,67,51,71,80,60,76,61
C. Kameni,44,11,12,13,24,45,13
P. Jagielka,47,30,31,79,68,52,44
P. Evra,73,33,51,80,57,70,53
J. Defoe,77,87,68,66,74,72,82
Júlio César,39,12,11,18,13,43,11
M. Carrick,43,59,59,71,64,44,67
M. Campaña,40,16,13,13,23,48,12
M. Acuña,85,67,78,55,43,84,68
V. Lindelöf,68,36,66,78,55,72,34
Y. Cardinale,53,14,18,16,23,40,20
C. Lenglet,72,23,27,70,43,73,24
M. Dahoud,78,60,48,42,55,69,49
D. Zappacosta,78,60,59,68,59,85,68
N. Maksimović,62,22,23,82,26,68,28
I. Marcone,57,48,60,73,59,42,49
L. López,64,48,32,81,48,68,50
A. Correa,85,82,65,61,55,79,77
S. Kritsyuk,49,19,20,17,14,47,12
Diego Llorente,59,39,35,77,53,62,31
L. Dendoncker,66,66,71,79,44,70,71
Gayà,83,56,49,60,52,89,59
M. Benassi,69,63,65,72,51,68,70
N. Tagliafico,92,57,40,76,46,85,33
E. Hysaj,78,47,30,66,40,84,40
João Cancelo,93,59,69,64,46,91,55
A. Romagnoli,64,20,24,76,34,68,24
Óliver Torres,75,70,64,52,64,67,60
H. Çalhanoğlu,71,74,93,53,71,67,77
L. Vietto,76,82,70,69,69,75,81
M. Arnold,67,77,59,54,59,67,85
L. Shaw,80,44,58,65,53,84,58
E. Višća,90,80,56,45,75,89,73
A. Milik,70,86,74,75,79,75,76
Bernat,84,57,51,53,53,74,59
W. Orban,55,34,32,83,41,54,33
Rubén Pardo,65,66,77,48,69,68,42
K. Zouma,63,47,60,77,61,71,47
C. Kramer,53,45,51,58,47,53,49
S. Vrsaljko,80,44,57,69,52,81,53
Zé Luís,80,75,54,84,75,81,75
J. Stones,71,29,29,77,37,71,27
J. Vestergaard,47,34,40,86,75,46,39
Fernando,70,63,82,62,61,76,45
F. Fernández,48,26,42,80,42,48,21
S. Sané,62,36,58,88,43,68,26
N. Sansone,84,80,69,65,66,82,73
F. Ghoulam,74,54,68,70,76,84,52
J. Murillo,73,37,26,77,46,76,44
Cédric,84,57,64,65,60,80,68
L. Tonelli,72,25,17,76,35,75,33
D. Sidibé,78,70,73,66,43,82,42
L. Digne,79,52,57,64,58,81,45
Paco Alcácer,72,81,59,77,71,73,82
Vicente Gómez,40,65,50,74,46,50,48
E. Çolak,76,75,79,65,72,71,70
N. Jørgensen,76,79,64,72,72,78,74
Oriol Romeu,63,25,53,67,54,52,35
Nolito,74,79,80,45,74,70,65
B. Martins Indi,54,38,38,75,38,59,32
M. Gabbiadini,74,82,82,71,72,74,72
F. Lejeune,42,50,41,75,43,54,42
J. Bruma,62,38,66,81,39,68,34
P. Jones,51,50,35,75,55,64,60
H. Pérez,83,70,62,54,48,81,64
Jaume Costa,83,53,59,66,56,84,38
A. Areola,54,19,16,14,25,52,16
Escudero,72,42,69,68,66,78,47
Y. Mallı,78,75,69,40,81,75,69
J. Zoet,57,12,16,19,27,45,19
A. Ljajić,82,72,83,48,75,79,74
M. Hitz,41,27,17,18,22,46,26
Balenziaga,73,41,33,70,44,76,50
W. Bony,63,80,58,82,77,68,76
B. Hübner,54,20,42,83,50,55,45
F. Coquelin,65,41,41,60,52,67,43
G. Bou,76,80,71,74,71,76,74
V. Babacan,49,15,12,16,12,61,14
Maurício,68,42,45,78,52,69,51
M. Fabián,76,77,78,61,75,69,77
R. Zieler,46,10,10,13,24,50,12
A. Kolarov,64,55,81,80,74,67,64
Mariano,86,54,56,66,61,79,58
K. Papadopoulos,61,24,43,90,46,63,44
S. Wagner,53,83,54,88,64,65,75
C. Yacob,49,58,55,78,66,38,23
A. Ogbonna,69,25,36,77,39,70,30
Roberto,45,14,14,19,19,48,13
W. Vainqueur,72,50,45,62,32,68,56
Marcelo,61,44,41,82,51,70,42
Fabricio,59,14,15,14,22,63,13
S. Prödl,38,34,38,87,35,36,22
F. Johnson,84,70,57,60,53,89,66
P. Wernbloom,54,60,32,87,66,58,46
D. Ospina,34,10,13,15,26,34,12
W. Reid,67,46,38,81,55,71,30
Lucas Leiva,50,23,47,65,61,41,47
Z. Junuzović,77,68,82,58,70,78,82
C. Ansaldi,77,57,45,63,52,83,51
D. Zurutuza,67,76,59,65,61,68,55
N. Şahin,58,61,81,65,39,50,80
Gervinho,91,72,43,63,63,92,70
G. dos Santos,87,78,80,61,70,86,77
R. Shawcross,46,53,24,83,48,51,35
J. Evans,65,28,25,81,44,65,46
S. Sirigu,50,10,11,11,19,51,12
A. Gyan,77,81,55,73,70,77,80
Y. Cabaye,62,69,77,67,78,63,73
N. Pareja,42,51,78,80,69,35,49
S. Radu,72,55,48,70,57,72,51
D. Abraham,76,46,67,78,54,83,65
Jurado,72,77,78,47,66,69,69
B. Gomis,66,80,62,81,83,68,79
H. Herrera,73,64,63,59,58,74,59
Luisão,32,45,48,82,66,34,51
V. Berezutskiy,52,23,43,78,45,52,39
I. Akinfeev,51,13,13,18,10,50,10
I. Denisov,67,63,54,59,62,65,60
Xabi Prieto,45,74,76,75,84,51,61
Negredo,62,80,70,83,80,63,80
A. Pyatov,44,9,16,10,15,44,12
P. Zabaleta,61,49,66,75,64,61,53
G. Ochoa,47,12,17,19,16,50,16
W. Caballero,44,11,11,22,16,47,13
Vágner Love,76,81,38,78,85,73,72
M. Vorm,57,14,14,17,41,58,12
D. Baier,63,52,70,52,62,51,58
R. Adler,46,14,13,10,21,37,18
S. Sorrentino,34,10,11,10,20,40,18
T. Rosický,76,65,70,46,74,71,67
A. Pirlo,37,58,93,39,84,30,74
G. Barry,30,56,78,74,72,33,65
E. Belözoğlu,54,68,83,43,85,42,69
André Silva,75,75,33,77,80,85,74
K. Dolberg,73,78,70,69,74,79,75
Yeray,66,41,50,76,61,69,55
L. Tousart,69,42,45,73,48,69,43
A. Onana,64,12,17,20,27,62,13
N. Radoja,57,73,36,51,42,44,32
O. Al Soma,74,80,74,77,74,73,67
F. Cervi,91,72,50,48,56,88,55
Jorge Meré,69,22,33,80,51,68,33
R. Karsdorp,86,53,60,69,52,87,66
Raúl,54,50,43,80,51,47,48
Pau López,45,19,21,15,25,52,17
M. Vecino,68,60,58,60,56,68,62
R. Battaglia,65,65,64,68,57,67,64
J. Izquierdo,93,71,34,60,58,93,54
Rúben Semedo,68,43,26,75,38,75,51
Capa,85,56,58,61,54,87,52
M. Sportiello,48,18,21,18,21,38,12
D. Zapata,69,81,64,78,64,76,76
D. Laxalt,86,64,60,43,49,90,49
N. Stark,75,50,35,80,39,78,48
Hernâni,92,68,59,55,68,91,68
R. Gagliardini,71,55,39,76,41,70,69
Paulo Oliveira,67,25,29,77,45,68,36
K. Wimmer,55,21,28,76,35,62,27
Tiago Volpi,59,14,60,13,21,58,20
F. Kostić,89,64,75,48,67,87,68
A. Samaris,59,58,73,78,66,60,55
A. Doucouré,62,70,42,66,45,69,67
G. Pizarro,64,59,54,60,60,56,62
M. Ginter,54,51,51,83,67,72,53
M. Weiser,85,63,52,65,58,84,59
Bigas,71,49,43,80,48,73,44
D. Heintz,55,23,32,79,41,68,26
B. Davies,78,55,48,66,54,74,37
M. Sabitzer,87,77,63,52,65,79,74
B. Mendy,79,33,29,64,40,84,20
R. Jiménez,75,75,45,82,87,77,80
B. Reynet,41,17,14,14,19,45,19
Joãozinho,89,74,76,63,83,90,68
P. Kadeřábek,77,56,52,69,54,84,57
T. Vilhena,77,62,68,60,53,69,68
Sergi Darder,59,56,55,50,55,51,54
D. Demme,68,21,62,55,58,53,48
V. Eysseric,72,77,78,52,71,72,72
G. Ramírez,73,74,77,57,73,70,71
David López,58,65,46,69,50,62,56
M. Badelj,58,54,58,66,68,60,66
A. Mandi,66,41,49,83,35,69,36
Ismaily,84,60,50,57,51,80,55
A. Marchesín,49,14,15,11,14,52,15
L. Teodorczyk,66,82,49,84,65,74,76
Marafona,36,18,17,13,23,37,19
B. Lecomte,44,11,19,10,20,40,10
N. Chadli,74,76,78,67,76,78,73
S. Rode,72,55,57,66,51,65,55
M. van Ginkel,67,78,68,72,67,75,72
André André,73,69,61,64,84,69,64
J. Guidetti,65,79,80,67,81,65,77
C. Aránguiz,77,64,76,53,79,73,68
Raúl Navas,55,36,65,79,46,51,44
K. Mbodj,68,45,55,81,62,78,63
R. Funes Mori,79,82,58,77,70,76,72
M. Höger,61,65,61,67,74,54,73
E. Pérez,74,66,63,58,82,67,58
T. Gutiérrez,66,80,63,73,72,65,75
C. Austin,64,82,43,81,80,66,72
E. Berisha,28,13,12,12,22,28,11
G. Gillet,68,75,65,78,69,66,71
L. López,77,77,73,76,84,83,74
D. Heintz,55,23,32,79,41,68,26
T. Vermaelen,69,52,65,81,62,67,56
I. Abate,82,38,44,64,48,88,60
J. Briand,71,79,66,79,69,79,79
M. Sabitzer,87,77,63,52,65,79,74
Capa,85,56,58,61,54,87,52
J. Toulalan,39,27,56,70,56,36,27
Bruno Alves,60,62,80,79,75,52,60
T. Howard,49,13,14,12,33,39,12
M. Barovero,35,13,19,13,20,35,18
C. Aránguiz,77,64,76,53,79,73,68
Joaquín,71,74,77,56,75,65,68
S. Bocchetti,69,45,25,76,45,64,38
A. Marchesín,49,14,15,11,14,52,15
C. Gentner,48,73,54,76,65,50,76
O. Al Soma,74,80,74,77,74,73,67
F. Gago,57,47,67,59,69,66,55
Bigas,71,49,43,80,48,73,44
R. van Persie,66,76,81,75,84,63,84
M. Layún,77,67,74,63,74,78,66
V. Eysseric,72,77,78,52,71,72,72
Sergi Darder,59,56,55,50,55,51,54
D. Laxalt,86,64,60,43,49,90,49
Tiago Volpi,59,14,60,13,21,58,20
N. Nkoulou,68,33,28,74,50,71,64
S. Ignashevich,33,50,66,82,76,34,32
Ismaily,84,60,50,57,51,80,55
Pau López,45,19,21,15,25,52,17
L. Tousart,69,42,45,73,48,69,43
J. Terry,33,46,31,83,52,34,55
P. Skjelbred,68,46,61,52,55,66,40
N. Lombaerts,33,38,57,83,48,44,43
Granero,60,69,76,59,73,55,58
J. Baumgartlinger,69,39,49,69,59,73,50
R. Palacio,79,80,67,75,79,78,76
Miguel Lopes,77,40,55,65,50,77,55
Hilton,34,45,48,79,64,42,51
Y. M'Vila,79,56,67,61,68,72,56
Hernâni,92,68,59,55,68,91,68
J. Guidetti,65,79,80,67,81,65,77
Borja Bastón,57,78,46,77,72,66,80
J. Farfán,82,75,75,58,79,83,69
A. Mandi,66,41,49,83,35,69,36
K. Mbodj,68,45,55,81,62,78,63
M. Badelj,58,54,58,66,68,60,66
R. Battaglia,65,65,64,68,57,67,64
M. Ruben,77,83,56,75,74,76,68
M. Borriello,57,83,74,80,74,65,70
R. Gagliardini,71,55,39,76,41,70,69
Eliseu,75,59,69,72,64,77,67
F. Kostić,89,64,75,48,67,87,68
A. Onana,64,12,17,20,27,62,13
Mosquera,65,58,70,65,51,48,51
André André,73,69,61,64,84,69,64
Rúben Semedo,68,43,26,75,38,75,51
S. Ryzhikov,40,13,15,12,22,35,14
A. N'Diaye,66,46,32,55,54,76,31
B. Reynet,41,17,14,14,19,45,19
R. Bobadilla,69,77,80,74,75,76,76
