Name,Acceleration,Finishing,Heading accuracy,Penalties,Volleys
F. Ribéry,85,76,41,78,80
Pepe,65,46,80,57,23
P. Čech,40,12,19,23,17
Y. Carrasco,87,79,53,74,68
R. Varane,77,40,83,43,42
Casemiro,63,59,74,66,53
L. Insigne,94,73,56,61,74
A. Lacazette,84,87,72,84,82
K. Navas,54,15,11,25,11
H. Mkhitaryan,88,77,53,72,81
D. Subašić,51,10,13,23,13
B. Leno,46,9,13,23,10
M. ter Stegen,38,14,11,25,14
K. Glik,53,27,85,39,17
Jordi Alba,93,73,63,59,60
I. Gündoğan,73,72,49,76,75
Azpilicueta,78,46,76,66,51
A. Di María,86,74,53,73,77
M. Pjanić,74,61,60,79,72
C. Marchisio,78,61,68,78,76
J. Vertonghen,68,56,81,68,52
B. Matuidi,79,65,73,56,72
S. Ruffier,45,11,12,25,13
Filipe Luís,75,59,68,65,56
V. Kompany,61,45,84,63,46
A. Barzagli,64,21,72,60,35
E. Bailly,75,33,81,46,42
Marco Asensio,79,82,50,62,75
Bernardo Silva,85,76,51,64,66
A. Laporte,68,45,85,35,40
D. Alli,77,84,75,68,76
S. Mané,94,83,53,71,68
Carvajal,76,41,65,45,34
J. Draxler,76,78,65,63,84
M. Icardi,75,89,84,78,81
Morata,78,82,79,72,81
K. Koulibaly,69,19,79,33,14
T. Horn,45,13,14,21,14
Koke,72,71,61,59,56
K. Manolas,78,10,80,26,16
S. Mustafi,64,58,81,54,51
Ander Herrera,76,71,60,79,69
K. Strootman,65,68,68,77,63
Pedro,84,81,55,66,70
R. Bürki,44,8,17,20,13
Bruno,42,66,61,75,48
I. Perišić,81,79,78,76,80
E. Džeko,67,87,84,67,77
Willian,91,77,29,70,59
S. Khedira,60,69,76,69,76
R. Fährmann,38,11,15,21,11
Sergio Asenjo,59,14,13,15,22
Juan Mata,71,79,59,81,71
M. Benatia,72,45,80,41,31
D. Payet,79,76,59,76,79
Falcao,73,87,90,84,84
L. Koscielny,74,32,81,51,35
G. Cahill,62,56,86,53,47
Dani Alves,79,55,72,70,68
A. Gómez,94,78,36,71,72
Aduriz,69,85,94,75,84
K. Mbappé,89,87,76,70,74
O. Dembélé,93,77,43,75,76
N. Keïta,82,74,42,58,59
J. Giménez,68,37,79,38,30
G. Rulli,54,15,12,24,16
T. Lemar,86,78,54,68,75
João Mário,71,66,55,66,69
N. Süle,51,20,85,32,29
Ederson,64,14,14,17,18
Fabinho,73,66,75,91,30
M. Salah,93,79,59,61,71
A. Belotti,80,88,84,77,80
E. Forsberg,78,72,45,64,67
Marquinhos,69,33,80,31,31
William Carvalho,52,56,73,60,50
S. Umtiti,72,51,72,61,70
R. Mahrez,85,74,45,72,71
V. van Dijk,69,52,80,62,45
Roberto Firmino,77,83,72,72,79
Danilo Pereira,67,56,76,52,55
Vitolo,81,79,65,74,75
A. Lopes,60,18,16,16,13
S. de Vrij,68,25,78,41,27
M. Perin,57,11,12,21,19
J. Matip,60,36,85,42,50
I. Gueye,78,50,69,54,32
Iago Aspas,84,86,78,80,86
N. Otamendi,62,53,83,44,56
N. Matić,62,64,77,69,74
J. Pastore,69,73,63,75,78
S. Kagawa,76,76,42,78,75
G. Bonaventura,78,70,60,68,78
B. Dost,54,87,93,81,85
K. Walker,86,51,73,63,57
Oscar,75,75,54,68,63
S. N'Zonzi,52,64,79,57,55
M. Musacchio,72,48,81,57,36
O. Toprak,72,28,83,48,55
José Callejón,90,76,65,62,84
Adrien Silva,64,71,61,85,75
S. Giovinco,88,83,34,77,75
N. Gaitán,84,73,54,71,81
M. Mandžukić,68,84,90,76,86
A. Lallana,74,79,67,70,72
B. Höwedes,62,48,84,56,38
E. Banega,71,65,45,67,65
Rui Patrício,53,12,11,32,17
Y. Sommer,48,13,10,24,8
M. Schneiderlin,67,61,71,56,56
Jonas,66,87,79,84,85
K. Gameiro,88,86,67,85,78
L. Piszczek,73,65,74,65,67
E. Garay,39,58,85,69,49
K. Schmeichel,62,12,16,26,15
Borja Valero,73,67,60,72,70
L. Perrin,67,64,80,68,44
Juanfran,76,54,59,66,49
Diego López,34,12,10,21,14
Santi Cazorla,68,75,58,80,72
J. Mascherano,67,42,68,60,51
W. Sneijder,70,72,32,76,80
Nani,84,75,46,72,75
D. De Rossi,69,50,81,75,74
José Reina,50,14,13,24,11
Quaresma,85,70,41,74,80
Y. Touré,61,82,72,89,68
Casillas,59,12,25,24,14
G. Donnarumma,46,12,12,24,8
L. Sané,93,78,72,63,64
T. Bakayoko,75,39,72,45,36
C. Tolisso,79,75,82,70,62
I. Slimani,66,80,91,74,79
N. Fekir,79,78,49,72,74
J. Seri,84,69,60,67,47
K. Baldé Diao,93,79,58,58,68
J. Tah,64,19,80,38,24
F. Bernardeschi,84,73,48,72,70
T. Werner,92,86,74,68,81
André Gomes,71,68,69,55,63
L. Goretzka,83,71,74,60,68
Q. Promes,86,82,60,72,68
Lucas Vázquez,83,77,52,56,54
Saúl,72,71,83,54,30
Felipe,65,39,82,47,40
C. Bacca,76,87,76,80,80
F. Vázquez,62,77,68,67,79
M. Kovačić,85,62,42,59,76
Sergio Rico,50,14,11,24,15
Manu Trigueros,73,71,76,65,63
A. Rüdiger,73,27,78,40,34
F. Thauvin,88,74,69,57,67
S. Savić,60,34,81,37,27
Iñigo Martínez,70,42,78,39,37
Roque Mesa,76,67,32,42,34
A. Florenzi,86,76,70,76,87
D. Klaassen,73,82,74,75,82
K. Bellarabi,91,75,48,57,72
R. Sterling,94,73,38,63,59
Suso,84,70,50,72,72
Deulofeu,93,70,40,78,68
E. Dier,70,52,83,70,52
M. Rojo,70,50,82,64,49
Lucas,95,72,50,75,70
H. Son,87,83,65,71,73
F. Acerbi,65,37,77,72,39
G. Xhaka,48,49,62,59,50
Jonathan Viera,86,78,41,74,57
Pizzi,83,77,45,76,77
Willian José,65,84,84,80,80
O. Baumann,47,11,16,22,11
G. Medel,74,31,68,62,61
Víctor Ruíz,54,37,77,46,39
X. Shaqiri,87,72,37,65,76
J. Cuadrado,90,67,58,65,68
C. Immobile,77,86,75,76,81
Douglas Costa,96,71,51,77,73
N. Clyne,82,54,67,46,45
Iborra,49,72,81,72,66
K. Trapp,45,13,11,17,12
V. Wanyama,60,63,73,65,60
Taison,93,76,56,72,82
Marlos,85,76,53,74,68
L. Stindl,74,84,64,80,86
M. Balotelli,77,84,66,92,74
A. Ramsey,67,72,58,75,79
W. Szczęsny,51,12,16,18,14
G. Sigurðsson,65,81,60,80,75
Y. Brahimi,86,74,46,75,73
M. Arnautović,76,73,71,77,79
J. Henderson,73,67,65,64,72
M. Kruse,74,86,63,89,80
O. Karnezis,44,16,24,21,14
L. Fejsa,52,49,73,56,53
F. Muslera,60,10,12,24,10
V. Ćorluka,49,47,83,49,38
G. Wijnaldum,79,74,72,74,73
F. Fazio,31,41,89,33,35
O. Giroud,51,83,90,81,82
J. Hernández,84,87,82,76,79
Beñat,65,69,47,69,61
L. Bender,66,59,78,52,57
A. Witsel,67,71,77,81,67
C. Bravo,58,13,18,23,11
A. Begović,52,12,12,40,12
Naldo,67,57,91,60,60
D. Sturridge,74,83,73,75,75
D. Rose,80,57,62,57,64
C. Vela,87,81,64,72,84
E. Viviano,30,17,13,21,13
G. Castro,73,69,52,58,65
S. Nasri,78,76,42,77,72
A. Williams,62,37,78,45,34
S. Mandanda,53,13,13,11,13
L. Baines,73,63,74,90,63
A. Consigli,48,10,10,21,19
João Moutinho,73,74,70,70,76
B. Costil,49,14,15,15,12
Raúl Albiol,57,27,77,37,31
J. Hart,59,14,10,48,19
M. Gómez,68,84,83,74,78
Raffael,77,81,63,72,75
A. Turan,75,71,70,73,80
Fernandinho,73,69,55,61,74
David Villa,72,86,67,88,79
S. Lichtsteiner,76,45,72,64,62
R. Jarstein,40,13,16,13,16
Gabriel Jesus,89,83,66,78,67
Nélson Semedo,91,50,58,38,42
Gelson Martins,95,66,51,66,74
J. Weigl,74,47,63,50,52
D. Sánchez,65,40,81,44,28
A. Kramarić,78,82,69,84,78
M. Brozović,72,69,62,69,65
Williams,92,78,67,64,64
Dani García,57,51,46,58,52
J. Kimmich,76,66,69,44,61
Bruma,94,70,52,71,60
D. Berardi,85,77,62,80,78
A. Rabiot,72,66,75,68,69
R. Guerreiro,83,72,61,44,76
J. Vardy,91,83,64,76,73
H. Ziyech,74,70,53,74,77
M. Keane,73,50,84,48,40
Héctor Bellerín,96,52,60,62,41
J. Butland,38,16,12,42,12
S. Zaza,79,82,81,80,84
T. Meunier,72,72,72,65,79
Felipe Anderson,94,71,44,53,68
Rafinha,74,74,55,67,76
Nacho Fernández,72,32,80,45,38
J. Cillessen,54,10,12,21,19
Sergi Roberto,76,64,62,57,46
W. Ben Yedder,84,84,74,74,76
Lucas Pérez,80,83,68,79,78
R. Barkley,77,69,65,65,61
C. Bakambu,86,81,71,72,78
W. Zaha,89,74,43,66,59
Bartra,78,43,82,52,43
S. Aurier,84,65,75,66,50
S. Coates,50,32,80,42,55
G. Krychowiak,62,42,83,78,40
K. Kampl,86,65,34,64,58
A. Yarmolenko,81,78,69,69,74
Y. Belhanda,77,75,67,80,69
Mário Fernandes,79,58,73,53,52
R. Rodríguez,73,59,64,83,67
J. Corona,87,76,67,68,75
Mario Gaspar,78,68,64,50,77
Marcos Alonso,74,64,70,64,52
M. Götze,71,74,49,65,87
L. Hrádecký,38,11,11,20,9
Illarramendi,65,64,51,50,58
De Marcos,83,59,59,55,57
C. Smalling,69,50,83,52,54
Iturraspe,57,60,78,58,47
J. Wilshere,73,64,58,65,64
S. Rudy,74,63,59,71,66
M. Lanzini,85,70,56,73,61
R. Boudebouz,77,78,45,87,73
Camacho,64,58,83,48,52
Paulinho,76,72,80,71,75
N. Kalinić,69,85,80,70,80
Giuliano,83,76,59,75,66
C. Benteke,70,79,87,77,73
D. Perotti,84,66,57,90,60
M. Parolo,68,70,75,45,76
K. Mitroglou,53,82,85,61,80
M. Sakho,53,23,74,40,20
A. Rami,49,45,79,48,45
S. Jovetić,75,80,74,80,79
S. Coleman,74,62,67,60,64
S. Kjær,60,55,82,61,37
Adán,55,11,23,25,15
M. Valbuena,81,74,50,68,76
S. Mignolet,55,11,16,41,16
D. Astori,66,25,77,27,27
K. Mirallas,82,77,64,78,76
Raúl García,54,73,88,76,55
M. Škrtel,54,35,84,39,43
T. Heaton,56,12,16,24,12
H. Ben Arfa,79,75,53,87,74
Dante,44,47,83,57,44
A. Gignac,74,86,78,78,80
Gabi,62,67,51,83,64
G. Rodríguez,65,44,84,74,22
D. Srna,69,69,60,84,72
B. Schweinsteiger,40,69,78,77,82
C. Carrasso,38,13,11,13,13
Moyá,46,11,12,11,13
W. Rooney,67,80,75,83,83
P. Mertesacker,26,36,84,42,30
T. Motta,31,54,77,70,76
Fernando Torres,74,77,77,74,81
S. Eto'o,73,85,75,85,80
S. Milinković-Savić,68,69,86,38,68
Y. Tielemans,52,73,57,76,78
Jemerson,64,28,79,54,46
N. Bentaleb,66,62,51,78,67
Alisson,44,13,19,23,20
J. Brandt,79,74,42,54,66
K. Demirbay,67,72,46,68,59
D. Rugani,54,33,80,36,35
Samu Castillejo,86,69,43,59,58
P. Zieliński,82,64,52,51,70
Ricardo Pereira,89,60,64,53,53
Grimaldo,87,50,64,51,58
Fred,80,71,55,65,64
J. Hector,76,55,73,65,51
S. Kolašinac,73,42,73,44,31
Arrizabalaga,34,11,17,24,18
Leo Baptistao,77,79,78,65,77
M. Nastasić,66,27,79,47,32
Denis Suárez,80,75,44,63,68
M. Batshuayi,77,83,73,67,74
J. Brooks,69,39,86,45,32
Eric Botteghin,35,25,79,52,25
L. Karius,51,18,14,19,14
T. Hazard,85,79,38,73,80
V. Germain,78,82,79,77,79
L. Kurzawa,81,71,76,62,61
J. Iličić,68,78,58,78,80
K. Volland,78,80,67,72,76
Allan,78,62,59,53,56
P. Hernández,72,69,53,62,69
D. Tadić,70,65,63,75,73
L. Muriel,87,80,65,74,75
Pablo Sarabia,74,73,61,61,53
A. Oxlade-Chamberlain,87,68,39,69,58
J. Guilavogui,66,49,78,50,49
O. Özyakup,76,68,50,78,72
Y. Rakitskyi,69,57,69,50,53
Sergi Enrich,63,83,80,63,79
Neto,53,15,14,22,12
Hugo Mallo,73,28,63,23,28
D. Didavi,75,79,58,65,73
R. Soriano,77,76,65,62,75
A. Schürrle,84,80,63,83,82
M. Gonalons,67,55,75,68,60
R. Pereyra,78,61,60,72,74
K. Vogt,66,50,78,53,51
F. Orellana,82,75,69,75,61
E. Salvio,88,76,67,60,71
D. Blind,63,46,71,56,62
S. El Shaarawy,86,75,51,72,77
M. Antonio,82,74,88,73,69
Iago Falqué,80,75,53,77,69
S. Rondón,73,77,88,62,73
Daniel Carriço,54,48,79,62,47
M. Schmelzer,75,37,73,46,47
J. McCarthy,72,55,63,60,61
Ganso,36,72,65,76,75
F. Smolov,89,82,70,74,79
D. Welbeck,83,75,75,70,76
Luiz Gustavo,65,46,73,58,54
Mikel San José,38,69,82,51,70
M. Darmian,78,55,68,45,59
R. Thomas,55,22,80,55,18
I. Traoré,92,66,44,56,75
Sidnei,42,46,74,58,43
J. Lens,87,75,63,67,85
Eder,86,81,60,78,76
Kiko Casilla,32,14,13,23,23
Nacho Monreal,74,39,67,61,56
S. Bender,67,39,75,34,54
M. Díaz,65,52,63,66,66
A. Fernández,67,69,59,62,57
M. Berg,74,82,77,70,74
V. Birsa,72,62,60,76,73
Pedro León,64,74,36,71,68
K. Boateng,73,75,74,67,83
Marcano,67,41,83,35,34
H. Moreno,66,43,84,63,55
S. Romero,47,14,12,16,17
A. Candreva,77,74,55,83,75
D. Wass,73,69,67,64,69
Coke,75,62,83,74,43
J. dos Santos,68,62,57,59,73
E. Lamela,78,73,71,75,77
R. Bertrand,79,50,69,52,43
Renato Augusto,66,65,57,68,77
Jardel,55,38,84,57,27
V. Denisov,86,40,66,31,57
D. Basta,77,58,72,55,64
G. Cabral,43,22,81,47,28
G. Paletta,49,16,76,35,30
T. Walcott,92,77,58,74,72
L. Fabiański,50,13,11,22,17
B. Foster,50,18,14,41,14
V. Ibišević,53,85,83,81,84
K. El Ahmadi,66,54,60,69,65
S. Kalou,69,83,76,86,78
Manuel Fernandes,83,71,59,75,69
A. Granqvist,46,51,81,79,37
L. Podolski,79,82,65,83,89
Javi Fuego,61,54,60,60,53
F. Belluschi,70,69,58,75,75
A. Mirante,44,17,13,21,15
F. Marchetti,55,17,12,22,12
Kaká,63,74,52,84,84
J. Milner,69,66,69,83,76
A. Hutchinson,68,63,75,76,63
M. Topal,67,58,76,68,54
J. Mathieu,67,51,80,60,61
C. Kameni,44,11,13,24,13
P. Jagielka,47,30,79,68,44
P. Evra,73,33,80,57,53
J. Defoe,77,87,66,74,82
Júlio César,39,12,18,13,11
M. Carrick,43,59,71,64,67
Oyarzabal,71,75,44,47,64
Soares,82,80,77,68,73
M. Campaña,40,16,13,23,12
F. Andone,79,79,76,74,77
M. Acuña,85,67,55,43,68
V. Lindelöf,68,36,78,55,34
Y. Cardinale,53,14,16,23,20
C. Lenglet,72,23,70,43,24
M. Dahoud,78,60,42,55,49
D. Zappacosta,78,60,68,59,68
N. Maksimović,62,22,82,26,28
E. Rigoni,90,75,46,60,71
I. Marcone,57,48,73,59,49
L. López,64,48,81,48,50
A. Correa,85,82,61,55,77
K. Coman,93,75,52,70,77
S. Kritsyuk,49,19,17,14,12
W. Cyprien,78,74,67,53,60
Diego Llorente,59,39,77,53,31
L. Dendoncker,66,66,79,44,71
M. Meyer,79,68,37,60,60
Gayà,83,56,60,52,59
S. Boufal,83,72,35,69,70
M. Benassi,69,63,72,51,70
N. Tagliafico,92,57,76,46,33
E. Hysaj,78,47,66,40,40
João Cancelo,93,59,64,46,55
A. Romagnoli,64,20,76,34,24
Óliver Torres,75,70,52,64,60
H. Çalhanoğlu,71,74,53,71,77
L. Vietto,76,82,69,69,81
M. Arnold,67,77,54,59,85
S. Gnabry,92,74,46,69,80
L. Shaw,80,44,65,53,58
E. Višća,90,80,45,75,73
D. Baselli,70,67,64,71,73
A. Milik,70,86,75,79,76
Bernat,84,57,53,53,59
W. Orban,55,34,83,41,33
Rubén Pardo,65,66,48,69,42
K. Zouma,63,47,77,61,47
C. Kramer,53,45,58,47,49
S. Vrsaljko,80,44,69,52,53
Zé Luís,80,75,84,75,75
J. Stones,71,29,77,37,27
J. Vestergaard,47,34,86,75,39
Fernando,70,63,62,61,45
F. Fernández,48,26,80,42,21
S. Sané,62,36,88,43,26
N. Sansone,84,80,65,66,73
P. Ntep,88,72,43,70,74
F. Ghoulam,74,54,70,76,52
J. Murillo,73,37,77,46,44
Cédric,84,57,65,60,68
L. Tonelli,72,25,76,35,33
R. Saponara,71,64,58,68,64
D. Sidibé,78,70,66,43,42
Y. Konoplyanka,86,76,49,75,67
L. Digne,79,52,64,58,45
Paco Alcácer,72,81,77,71,82
Vicente Gómez,40,65,74,46,48
E. Çolak,76,75,65,72,70
N. Jørgensen,76,79,72,72,74
Oriol Romeu,63,25,67,54,35
Nolito,74,79,45,74,65
B. Martins Indi,54,38,75,38,32
M. Gabbiadini,74,82,71,72,72
P. Herrmann,86,75,54,63,74
F. Lejeune,42,50,75,43,42
J. Bruma,62,38,81,39,34
P. Jones,51,50,75,55,60
Keko,80,69,34,66,70
H. Pérez,83,70,54,48,64
Jaume Costa,83,53,66,56,38
A. Areola,54,19,14,25,16
Escudero,72,42,68,66,47
Y. Mallı,78,75,40,81,69
S. Corchia,77,58,70,67,58
J. Kucka,69,65,77,71,68
J. Zoet,57,12,19,27,19
A. Ljajić,82,72,48,75,74
Canales,65,75,38,66,63
M. Hitz,41,27,18,22,26
Balenziaga,73,41,70,44,50
W. Bony,63,80,82,77,76
B. Hübner,54,20,83,50,45
F. Coquelin,65,41,60,52,43
Jonathas,72,80,78,73,74
G. Bou,76,80,74,71,74
V. Babacan,49,15,16,12,14
S. Doumbia,90,77,74,80,77
Maurício,68,42,78,52,51
M. Fabián,76,77,61,75,77
R. Zieler,46,10,13,24,12
A. Kolarov,64,55,80,74,64
Mariano,86,54,66,61,58
S. Feghouli,83,68,60,62,68
K. Papadopoulos,61,24,90,46,44
S. Wagner,53,83,88,64,75
P. Piatti,88,76,71,59,72
C. Yacob,49,58,78,66,23
A. Ogbonna,69,25,77,39,30
Roberto,45,14,19,19,13
N. Amrabat,83,74,68,77,73
W. Vainqueur,72,50,62,32,56
Marcelo,61,44,82,51,42
Antunes,78,56,57,61,69
Fabricio,59,14,14,22,13
S. Prödl,38,34,87,35,22
F. Johnson,84,70,60,53,66
Bojan,78,70,42,71,79
P. Wernbloom,54,60,87,66,46
A. Ayew,76,73,76,71,65
D. Ospina,34,10,15,26,12
W. Reid,67,46,81,55,30
Lucas Leiva,50,23,65,61,47
Z. Junuzović,77,68,58,70,82
C. Ansaldi,77,57,63,52,51
D. Zurutuza,67,76,65,61,55
N. Şahin,58,61,65,39,80
Gervinho,91,72,63,63,70
G. dos Santos,87,78,61,70,77
R. Shawcross,46,53,83,48,35
J. Evans,65,28,81,44,46
S. Sirigu,50,10,11,19,12
A. Gyan,77,81,73,70,80
Y. Cabaye,62,69,67,78,73
Danilo,49,23,72,50,22
N. Pareja,42,51,80,69,49
S. Radu,72,55,70,57,51
D. Abraham,76,46,78,54,65
M. Krohn-Dehli,69,76,50,76,53
Jurado,72,77,47,66,69
B. Gomis,66,80,81,83,79
H. Herrera,73,64,59,58,59
Luisão,32,45,82,66,51
V. Berezutskiy,52,23,78,45,39
I. Akinfeev,51,13,18,10,10
I. Denisov,67,63,59,62,60
A. Samedov,81,74,59,81,61
Xabi Prieto,45,74,75,84,61
Negredo,62,80,83,80,80
A. Pyatov,44,9,10,15,12
P. Zabaleta,61,49,75,64,53
G. Ochoa,47,12,19,16,16
W. Caballero,44,11,22,16,13
Vágner Love,76,81,78,85,72
M. Vorm,57,14,17,41,12
D. Baier,63,52,52,62,58
R. Adler,46,14,10,21,18
S. Sorrentino,34,10,10,20,18
T. Rosický,76,65,46,74,67
G. Barry,30,56,74,72,65
E. Belözoğlu,54,68,43,85,69
André Silva,75,75,77,80,74
K. Dolberg,73,78,69,74,75
Yeray,66,41,76,61,55
C. Pulisic,93,71,49,48,70
L. Tousart,69,42,73,48,43
A. Onana,64,12,20,27,13
V. Koziello,78,66,49,60,63
N. Radoja,57,73,51,42,32
V. Rongier,69,65,41,65,73
O. Al Soma,74,80,77,74,67
F. Cervi,91,72,48,56,55
Jorge Meré,69,22,80,51,33
Jony,86,75,44,61,56
R. Karsdorp,86,53,69,52,66
Dani Ceballos,72,62,37,55,57
H. Lozano,94,72,56,64,71
Raúl,54,50,80,51,48
Pau López,45,19,15,25,17
M. Vecino,68,60,60,56,62
A. Sanabria,79,80,69,69,67
R. Battaglia,65,65,68,57,64
J. Izquierdo,93,71,60,58,54
T. Bongonda,85,69,39,57,58
Rúben Semedo,68,43,75,38,51
Rafa,91,65,46,59,64
Morales,89,75,54,68,61
Capa,85,56,61,54,52
M. Sportiello,48,18,18,21,12
D. Zapata,69,81,78,64,76
D. Benedetto,78,80,75,68,71
D. Laxalt,86,64,43,49,49
D. Origi,82,79,73,65,70
N. Stark,75,50,80,39,48
Hernâni,92,68,55,68,68
Iuri Medeiros,84,73,45,79,73
R. Gagliardini,71,55,76,41,69
Pedro Santos,88,73,62,65,64
Carles Gil,70,72,34,69,71
Paulo Oliveira,67,25,77,45,36
A. Szymanowski,91,77,67,70,66
K. Wimmer,55,21,76,35,27
Tiago Volpi,59,14,13,21,20
F. Kostić,89,64,48,67,68
A. Samaris,59,58,78,66,55
A. Doucouré,62,70,66,45,67
G. Pizarro,64,59,60,60,62
M. Ginter,54,51,83,67,53
J. Lingard,84,72,61,65,64
M. Weiser,85,63,65,58,59
D. Cheryshev,78,74,54,64,68
Bigas,71,49,80,48,44
D. Heintz,55,23,79,41,26
B. Davies,78,55,66,54,37
J. Ward-Prowse,67,61,57,80,51
T. Inui,87,68,41,51,62
M. Sabitzer,87,77,52,65,74
B. Mendy,79,33,64,40,20
R. Jiménez,75,75,82,87,80
E. Sala,56,79,79,68,75
B. Reynet,41,17,14,19,19
M. Niang,86,70,64,70,72
K. Fortounis,73,72,57,80,71
Pozuelo,62,64,39,66,62
Joãozinho,89,74,63,83,68
P. Kadeřábek,77,56,69,54,57
T. Vilhena,77,62,60,53,68
M. Elyounoussi,88,69,65,64,74
L. Bittencourt,89,65,45,61,66
Sergi Darder,59,56,50,55,54
D. Demme,68,21,55,58,48
V. Eysseric,72,77,52,71,72
G. Ramírez,73,74,57,73,71
David López,58,65,69,50,56
M. Badelj,58,54,66,68,66
A. Mandi,66,41,83,35,36
Ismaily,84,60,57,51,55
A. Marchesín,49,14,11,14,15
L. Teodorczyk,66,82,84,65,76
Marafona,36,18,13,23,19
B. Lecomte,44,11,10,20,10
N. Chadli,74,76,67,76,73
S. Rode,72,55,66,51,55
M. van Ginkel,67,78,72,67,72
André André,73,69,64,84,64
J. Guidetti,65,79,67,81,77
Danilo,75,61,68,67,72
V. Aboubakar,77,74,77,76,70
C. Aránguiz,77,64,53,79,68
Raúl Navas,55,36,79,46,44
K. Mbodj,68,45,81,62,63
Rodrigo,89,74,72,77,74
R. Funes Mori,79,82,77,70,72
M. Höger,61,65,67,74,73
N. Lodeiro,73,65,42,76,70
D. Caligiuri,78,69,56,79,68
E. Pérez,74,66,58,82,58
T. Gutiérrez,66,80,73,72,75
C. Austin,64,82,81,80,72
E. Berisha,28,13,12,22,11
G. Gillet,68,75,78,69,71
L. López,77,77,76,84,74
A. Townsend,86,72,52,83,59
D. Heintz,55,23,79,41,26
Pozuelo,62,64,39,66,62
T. Vermaelen,69,52,81,62,56
I. Abate,82,38,64,48,60
J. Briand,71,79,79,69,79
M. Sabitzer,87,77,52,65,74
Capa,85,56,61,54,52
J. Toulalan,39,27,70,56,27
Bruno Alves,60,62,79,75,60
T. Howard,49,13,12,33,12
M. Barovero,35,13,13,20,18
C. Aránguiz,77,64,53,79,68
V. Rongier,69,65,41,65,73
Joaquín,71,74,56,75,68
J. Lingard,84,72,61,65,64
S. Bocchetti,69,45,76,45,38
A. Marchesín,49,14,11,14,15
Muniain,85,73,43,61,63
Danilo,75,61,68,67,72
C. Gentner,48,73,76,65,76
O. Al Soma,74,80,77,74,67
F. Gago,57,47,59,69,55
Bigas,71,49,80,48,44
D. Origi,82,79,73,65,70
D. Cheryshev,78,74,54,64,68
R. van Persie,66,76,75,84,84
M. Layún,77,67,63,74,66
V. Eysseric,72,77,52,71,72
Sergi Darder,59,56,50,55,54
D. Laxalt,86,64,43,49,49
Tiago Volpi,59,14,13,21,20
Morales,89,75,54,68,61
V. Aboubakar,77,74,77,76,70
A. Szymanowski,91,77,67,70,66
N. Nkoulou,68,33,74,50,64
S. Ignashevich,33,50,82,76,32
Ismaily,84,60,57,51,55
Pau López,45,19,15,25,17
Rafinha,76,37,50,63,50
L. Tousart,69,42,73,48,43
J. Terry,33,46,83,52,55
P. Skjelbred,68,46,52,55,40
I. Afellay,76,71,46,70,72
N. Lombaerts,33,38,83,48,43
Granero,60,69,59,73,58
J. Baumgartlinger,69,39,69,59,50
R. Palacio,79,80,75,79,76
Miguel Lopes,77,40,65,50,55
Susaeta,76,69,52,58,62
Hilton,34,45,79,64,51
Y. M'Vila,79,56,61,68,56
Pedro Santos,88,73,62,65,64
Hernâni,92,68,55,68,68
V. Koziello,78,66,49,60,63
